avg_score_pct,variation_score_pct,late_submission_pct,missed_submission_pct,risk_at_risk,risk_chronic_procrastinator,risk_incomplete,risk_inconsistent_performer
54,19,40,30,1,1,1,0
67,37,30,10,1,1,0,0
53,45,30,20,1,1,1,1
60,12,40,20,1,1,1,0
99,31,30,20,1,1,1,0
53,39,20,10,1,0,0,0
69,40,10,10,1,0,0,0
94,36,30,0,0,1,0,0
54,8,0,10,1,0,0,0
49,23,40,10,1,1,0,0
67,34,20,10,1,0,0,0
71,4,20,0,1,0,0,0
68,24,10,0,1,0,0,0
71,31,40,10,1,1,0,0
79,32,10,10,0,0,0,0
78,27,40,0,0,1,0,0
63,4,30,20,1,1,1,0
91,1,40,30,1,1,1,0
64,16,10,30,1,0,1,0
90,38,30,10,0,1,0,0
41,38,0,20,1,0,1,0
73,8,20,30,1,0,1,0
94,9,30,10,0,1,0,0
86,16,10,30,1,0,1,0
63,13,10,0,1,0,0,0
70,26,0,0,1,0,0,0
92,31,10,20,1,0,1,0
58,29,40,20,1,1,1,0
68,48,40,30,1,1,1,1
77,32,20,30,1,0,1,0
99,32,10,30,1,0,1,0
59,28,10,20,1,0,1,0
46,6,30,10,1,1,0,0
79,14,20,30,1,0,1,0
99,42,20,0,0,0,0,0
98,39,30,30,1,1,1,0
97,28,20,30,1,0,1,0
93,6,30,0,0,1,0,0
95,30,40,0,0,1,0,0
87,33,0,0,0,0,0,0
87,18,20,0,0,0,0,0
84,39,0,0,0,0,0,0
40,47,20,0,1,0,0,1
66,27,10,10,1,0,0,0
40,23,10,30,1,0,1,0
67,39,10,0,1,0,0,0
86,43,20,10,0,0,0,0
52,45,40,20,1,1,1,1
69,3,10,30,1,0,1,0
46,40,10,20,1,0,1,0
90,0,40,0,0,1,0,0
69,11,0,20,1,0,1,0
73,34,20,30,1,0,1,0
77,38,10,0,0,0,0,0
99,32,0,10,0,0,0,0
79,28,20,10,0,0,0,0
69,16,20,20,1,0,1,0
100,36,40,10,0,1,0,0
88,48,20,10,0,0,0,1
41,15,10,10,1,0,0,0
73,12,10,20,1,0,1,0
72,44,0,10,1,0,0,0
66,15,0,0,1,0,0,0
100,20,20,0,0,0,0,0
86,3,40,0,0,1,0,0
65,0,20,10,1,0,0,0
99,23,0,30,1,0,1,0
56,4,40,0,1,1,0,0
79,17,40,0,0,1,0,0
53,15,30,20,1,1,1,0
48,9,30,10,1,1,0,0
82,42,0,30,1,0,1,0
68,29,20,30,1,0,1,0
51,15,20,10,1,0,0,0
69,48,30,20,1,1,1,1
99,1,30,10,0,1,0,0
40,43,0,20,1,0,1,0
76,22,10,10,0,0,0,0
97,36,0,20,1,0,1,0
69,42,10,20,1,0,1,0
71,8,10,10,1,0,0,0
43,24,30,0,1,1,0,0
74,40,10,10,1,0,0,0
86,41,40,0,0,1,0,0
94,36,10,20,1,0,1,0
60,6,40,20,1,1,1,0
83,19,40,10,0,1,0,0
60,16,40,10,1,1,0,0
91,48,30,20,1,1,1,1
51,11,0,20,1,0,1,0
86,48,40,20,1,1,1,1
52,4,0,10,1,0,0,0
92,45,30,10,0,1,0,1
69,30,40,10,1,1,0,0
75,31,30,20,1,1,1,0
68,13,20,0,1,0,0,0
63,9,0,20,1,0,1,0
92,37,30,20,1,1,1,0
85,41,40,10,0,1,0,0
59,32,0,0,1,0,0,0
74,28,20,10,1,0,0,0
87,13,0,0,0,0,0,0
43,47,10,0,1,0,0,1
96,10,40,10,0,1,0,0
53,42,40,20,1,1,1,0
94,3,10,20,1,0,1,0
96,33,0,0,0,0,0,0
72,15,40,0,1,1,0,0
74,34,40,10,1,1,0,0
77,39,20,0,0,0,0,0
63,31,0,20,1,0,1,0
95,11,20,30,1,0,1,0
76,17,10,10,0,0,0,0
87,41,30,10,0,1,0,0
87,16,10,0,0,0,0,0
63,5,10,10,1,0,0,0
63,27,20,0,1,0,0,0
41,40,40,10,1,1,0,0
58,16,40,20,1,1,1,0
56,29,0,0,1,0,0,0
55,5,10,20,1,0,1,0
41,36,10,0,1,0,0,0
78,44,0,20,1,0,1,0
94,27,30,30,1,1,1,0
91,16,20,10,0,0,0,0
62,35,20,10,1,0,0,0
62,32,30,30,1,1,1,0
96,13,0,20,1,0,1,0
65,0,30,10,1,1,0,0
57,39,10,0,1,0,0,0
84,48,0,30,1,0,1,1
100,18,40,30,1,1,1,0
52,12,30,20,1,1,1,0
66,16,20,0,1,0,0,0
75,1,30,20,1,1,1,0
81,45,20,0,0,0,0,1
93,3,0,0,0,0,0,0
74,2,0,10,1,0,0,0
49,36,40,0,1,1,0,0
63,38,30,10,1,1,0,0
80,16,0,30,1,0,1,0
87,42,0,30,1,0,1,0
55,39,30,20,1,1,1,0
62,4,40,20,1,1,1,0
44,19,20,30,1,0,1,0
